location,time,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta
-122.00  37.50   25.0, 0 10 135  5 2024,    296.2381,      6.4686,     94.6903,      0.8961,    463.6384,      0.6459,  86199.3232,      3.9198,     35.7342,     -7.4655,    -64.2399,  299.0153,0.199308
-122.00  37.50   25.0, 0 10 135  5 2024,    272.7913,     15.2287,      3.8792,      0.4292,   1202.7319,      0.6563,  92693.3428,      3.8509,     41.9508,    -11.9221,    -55.3892,  276.3098,0.217472
 -87.63  41.88  181.0, 0 13 172  6 2024,    251.2095,     21.2002,     43.7943,      0.1326,     78.8466,      0.1952,  64868.6852,      2.6157,     59.3383,     29.4369,   -164.1236,  251.2725,0.237502
 139.69  35.69   40.0, 0 11 202  7 2024,    261.7185,     22.9721,     21.9167,      0.2734,    451.4350,      0.4565,  97802.9849,      2.5420,     33.0988,     11.7931,    126.3552,  262.6345,0.228412
  28.05 -26.20 1753.0, 0 12 355 12 2024,    315.6389,      1.3392,     16.3690,      0.3375,   1220.4875,      0.9638,  99922.6469,      3.5213,     61.0490,      3.4319,    104.0632,  316.2870,0.185490
 103.82   1.35   15.0, 0 16 299 10 2024,    303.0330,     19.6515,    154.2311,      0.4085,     10.4166,      0.3571,  97917.9431,      4.5203,     71.3449,    -21.4579,    124.3174,  303.0640,0.196069
 151.21 -33.87   39.0, 0 15 105  4 2024,    261.9194,      1.3584,     91.4775,      0.4133,   1048.0720,      0.7379,  94625.8991,      1.6052,     50.0586,     -5.8557,    -51.2640,  261.9194,0.228984
 139.69  35.69   40.0, 0 13 172  6 2024,    301.3429,     20.3560,     64.6436,      0.4152,    619.1899,      0.7144,  91477.7978,      1.0549,     34.8366,     23.6824,    -50.8485,  302.6530,0.196398
  28.05 -26.20 1753.0, 0 12  75  3 2024,    286.0545,      8.6462,    156.6156,      0.1954,   1328.7943,      0.8922,  95790.0081,      2.6664,     13.0622,    -21.0768,   -106.4130,  287.8125,0.208270
 -87.63  41.88  181.0, 0  9 266  9 2024,    251.9437,     16.8720,      7.4343,      0.4118,    349.3767,      0.4988,  81513.0793,      2.5220,     80.7923,     12.6381,    -71.4509,  253.2207,0.235943
 103.82   1.35   15.0, 0  9 266  9 2024,    261.4397,     14.9759,    236.1856,      0.0289,    529.7701,      0.8920,  66922.4534,      3.5821,     70.4239,    -41.4239,     40.1960,  261.4397,0.229368
-122.00  37.50   25.0, 0  8 325 11 2024,    309.7764,     18.0604,    174.8357,      0.3581,     66.4247,      0.3067,  83179.6145,      1.2592,     55.3804,     16.2938,     16.5934,  309.9494,0.190561
 151.21 -33.87   39.0, 0  8 325 11 2024,    291.9139,     16.3408,    197.7489,      0.6166,    688.1413,      0.5190,  69028.5276,      3.9108,     75.1849,    -17.7898,    -27.6482,  293.3537,0.203837
  -0.13  51.51   11.0, 0 15 105  4 2024,    252.6160,     16.2471,    274.7059,      0.9820,    471.2251,      0.2685,  91524.6238,      0.9051,     24.4131,      5.7236,    177.5099,  254.1193,0.235225
  -0.13  51.51   11.0, 0 16 299 10 2024,    278.7003,     21.9164,     45.5411,      0.5793,    219.9834,      0.9236,  69691.1505,      1.1518,     12.3508,     -5.7493,     30.6225,  278.7496,0.215520
 151.21 -33.87   39.0, 0 13 172  6 2024,    278.7578,     12.3829,    282.3519,      0.4633,   1061.0659,      0.8561,  89452.3950,      2.2953,     80.2949,     -5.7622,    -49.0464,  278.7578,0.215514
 103.82   1.35   15.0, 0  9 266  9 2024,    275.7832,     11.1687,     64.0984,      0.2600,   1310.8828,      0.0396,  92654.1718,      3.6255,     83.8290,    -27.6035,     28.5137,  275.7832,0.217893
-112.07  33.45  331.0, 0  9 266  9 2024,    248.5680,      1.6571,    128.1820,      0.6807,    524.0524,      0.4608,  96073.5984,      3.2929,     77.2592,    -19.7103,    -85.1283,  254.5846,0.234852
 -87.63  41.88  181.0, 0  9 266  9 2024,    305.5186,     16.0662,    173.0058,      0.1095,   1163.1799,      0.3599,  68851.9573,      2.5278,     45.2557,    -44.9916,      4.9459,  308.7525,0.191518
  -0.13  51.51   11.0, 0 11 202  7 2024,    321.7153,     18.2546,    251.3235,      0.0681,   1066.1817,      0.8443,  84370.9733,      4.2594,     27.7167,      5.7852,      2.3422,  322.9823,0.180134
-112.07  33.45  331.0, 0  9  46  2 2024,    314.7936,     21.9986,     15.2506,      0.9751,    543.5054,      0.5544,  92432.3986,      4.0506,     37.0334,     -6.6302,    -67.3239,  316.1903,0.185568
-122.00  37.50   25.0, 0 12 355 12 2024,    306.6289,     18.2262,    328.7586,      0.4294,    107.8206,      0.7779,  87585.2229,      3.4938,     86.8696,    -41.3587,     70.0696,  306.6744,0.193180
 151.21 -33.87   39.0, 0  9  46  2 2024,    235.6093,      4.1238,    111.6053,      0.0764,    132.6091,      0.5943,  61105.4824,      0.5974,     59.6455,     36.3150,    129.1578,  235.6093,0.250033
  -0.13  51.51   11.0, 0 13 172  6 2024,    310.2004,      6.0600,    122.5117,      0.2313,   1268.1448,      0.0589,  68459.7920,      0.7731,     52.0741,     35.7919,   -130.7909,  314.0320,0.187294
  -0.13  51.51   11.0, 0  6  15  1 2024,    312.5948,     24.4252,    147.5619,      0.6667,      4.2606,      0.9590,  98151.7471,      4.8460,      6.3234,     13.9958,    -37.6551,  312.5949,0.188444
-122.00  37.50   25.0, 0  9 266  9 2024,    305.4469,      6.2321,    330.9237,      0.5886,   1280.5735,      0.3856,  62041.7514,      0.8186,     22.1328,     44.9479,    -57.4236,  316.6753,0.185180
-112.07  33.45  331.0, 0  9  46  2 2024,    307.7995,      6.6922,    273.8570,      0.1954,    990.1380,      0.5449,  69558.3272,      4.4698,     25.0607,     -7.7975,     14.1023,  312.1170,0.188826
-112.07  33.45  331.0, 0 14 228  8 2024,    261.5743,      6.3297,    213.7284,      0.5928,    248.8158,      0.7798,  66498.5462,      3.0060,     82.3728,     -7.6319,   -176.0542,  261.5743,0.229261
  -0.13  51.51   11.0, 0  9 266  9 2024,    237.5365,     17.2570,    304.0748,      0.6634,    163.8442,      0.1903,  79417.9398,      4.7120,     35.1377,     -1.7188,    127.2848,  237.5365,0.248491
  55.30  25.20    5.0, 0 14 228  8 2024,    293.8654,     13.7148,    279.7619,      0.0966,    416.1970,      0.0334,  66127.3130,      3.6934,      4.2882,    -40.8605,   -102.5885,  296.3407,0.201447
  -0.13  51.51   11.0, 0 11 202  7 2024,    270.9589,     13.1385,    267.4839,      0.0097,    458.8076,      0.9032,  77489.1044,      1.0740,     66.8098,     14.6288,   -156.1147,  270.9633,0.221749
 -46.63 -23.55  760.0, 0 10 135  5 2024,    238.4694,     21.5137,    141.2481,      0.0817,    109.9182,      0.7648,  72593.0149,      3.0988,      6.3718,     22.7763,    154.5128,  238.5668,0.247667
  -0.13  51.51   11.0, 0 12 355 12 2024,    315.5995,     22.3496,    301.6600,      0.1814,    576.6363,      0.8518,  92141.7300,      4.7871,     10.9980,    -42.3006,    169.8618,  315.6299,0.186016
 103.82   1.35   15.0, 0  8 325 11 2024,    297.1453,      2.1612,    241.1665,      0.8188,    905.9535,      0.8747,  79977.9950,      2.0954,     51.7786,     18.7702,     91.1766,  297.1453,0.200804
 151.21 -33.87   39.0, 0 12  75  3 2024,    273.2627,      6.8929,    162.2861,      0.9261,    328.0489,      0.2049,  86795.3977,      2.3840,      6.5705,    -43.4035,    171.9957,  276.2031,0.217557
-112.07  33.45  331.0, 0 13 172  6 2024,    286.9084,      4.2427,    332.7064,      0.2283,   1271.0445,      0.3870,  88333.7481,      2.9093,     28.4433,     31.3177,    174.5168,  297.8584,0.200233
  -0.13  51.51   11.0, 0 11 202  7 2024,    320.2919,     18.9555,     38.3065,      0.3811,    610.3852,      0.9776,  67989.6796,      4.8918,     38.0656,    -19.7816,     70.4437,  320.3530,0.182238
 151.21 -33.87   39.0, 0 13 172  6 2024,    266.7367,     14.8577,    265.9805,      0.7850,     70.8312,      0.6148,  78333.7584,      0.7845,      6.5493,     21.7483,    -70.5803,  266.9028,0.224998
 151.21 -33.87   39.0, 0  9 266  9 2024,    241.6068,     17.9712,    145.2109,      0.8838,   1065.0017,      0.1789,  63099.4221,      4.2332,     61.7498,     44.7384,    -84.5512,  245.5950,0.242044
  -0.13  51.51   11.0, 0  9  46  2 2024,    265.2490,      6.2685,    119.5140,      0.7676,    853.2072,      0.0254,  90646.1606,      0.8935,     80.9555,      1.8368,    -62.7254,  283.5463,0.211683
  55.30  25.20    5.0, 0 12 355 12 2024,    321.1935,     23.3424,      0.8765,      0.5211,    639.8494,      0.0930,  80765.5444,      1.7524,     11.2517,      1.2093,     46.5770,  324.7136,0.178749
 -87.63  41.88  181.0, 0 13 172  6 2024,    293.4129,      3.2227,    258.5419,      0.6778,    839.4948,      0.6989,  95628.4576,      2.6235,     75.9763,     37.0404,    -96.9465,  293.4129,0.203790
-112.07  33.45  331.0, 0  8 325 11 2024,    243.4008,     18.2813,      0.5146,      0.4848,    957.1019,      0.4908,  91215.4179,      3.2596,     81.6297,    -40.0418,    171.5175,  243.4008,0.243799
 -46.63 -23.55  760.0, 0 10 135  5 2024,    291.3136,     12.0739,    356.7980,      0.3774,   1306.2860,      0.6636,  75122.7989,      3.6222,     78.1855,     23.1899,     56.6959,  291.3136,0.205469
 -87.63  41.88  181.0, 0 16 299 10 2024,    255.1521,      7.6283,    146.4608,      0.6187,    124.2928,      0.8782,  72489.3265,      3.0818,     16.0246,    -24.1438,     -0.4105,  255.2199,0.234344
 -87.63  41.88  181.0, 0 13 172  6 2024,    306.7518,      4.9526,    242.5399,      0.3626,    331.2829,      0.0728,  67549.2135,      2.9490,     29.3996,     27.6562,    -95.0187,  310.4340,0.190173
 139.69  35.69   40.0, 0 13 172  6 2024,    297.0563,      6.3624,    205.1277,      0.0762,   1352.5516,      0.8756,  61920.9781,      0.9480,     78.1829,     35.9199,      8.4766,  298.3794,0.199816
 139.69  35.69   40.0, 0 14 228  8 2024,    234.8917,     14.8859,    153.8714,      0.3923,    302.8513,      0.8629,  80894.0618,      2.6236,     80.0391,    -13.0980,   -116.1607,  234.8917,0.250607
 -46.63 -23.55  760.0, 0  8 325 11 2024,    246.0629,     14.0502,    119.3277,      0.8669,    928.4288,      0.1691,  61950.7937,      2.0578,     11.5020,     17.0158,     -6.0745,  250.8243,0.237861
  -0.13  51.51   11.0, 0 10 135  5 2024,    270.8961,      3.4150,    356.2628,      0.1097,     61.3520,      0.7342,  83952.8626,      3.7665,     71.7220,     30.2460,   -178.3002,  270.8961,0.221803
 139.69  35.69   40.0, 0 12 355 12 2024,    287.4285,     22.0895,    303.7067,      0.1841,   1088.1363,      0.1224,  81964.5126,      0.5741,     82.9457,    -39.1157,     -4.3960,  295.3431,0.202246
 -46.63 -23.55  760.0, 0 10 135  5 2024,    251.0230,     13.5310,    254.1170,      0.9036,   1099.7470,      0.1453,  86911.2760,      4.0183,     13.4588,     37.6109,    160.1660,  256.0396,0.233688
  28.05 -26.20 1753.0, 0 12  75  3 2024,    278.0686,     14.4009,    314.5944,      0.3434,   1268.4221,      0.1640,  75151.7278,      2.4009,     46.8495,     32.5885,     84.4383,  283.4896,0.211728
-112.07  33.45  331.0, 0  8 325 11 2024,    259.3293,     23.8711,    225.7634,      0.1529,     43.4110,      0.5355,  88890.6907,      1.5274,     79.4400,     -9.3754,   -103.9989,  259.4350,0.230972
 -87.63  41.88  181.0, 0 10 135  5 2024,    240.3162,     11.9178,    184.6741,      0.7148,    870.3050,      0.4441,  86765.1861,      1.8338,     42.2763,    -28.5760,   -144.6049,  243.7001,0.243560
  28.05 -26.20 1753.0, 0  9 266  9 2024,    282.6080,     22.6611,    225.7189,      0.6807,    116.7088,      0.5825,  98094.8750,      1.3932,     20.6712,      9.0624,   -167.9576,  282.9259,0.212179
 -87.63  41.88  181.0, 0 14 228  8 2024,    262.1274,      9.3218,    228.7247,      0.1044,    162.4317,      0.6761,  68431.5005,      4.7483,     40.1261,    -42.2771,    116.6492,  262.5121,0.228510
  55.30  25.20    5.0, 0 11 202  7 2024,    249.4590,     11.8789,    103.2996,      0.2035,   1186.4150,      0.7026,  73396.8122,      3.6979,     17.0677,    -44.1744,    106.6889,  251.7380,0.237130
 -46.63 -23.55  760.0, 0  8 325 11 2024,    272.3506,     14.3804,    226.5209,      0.1119,    532.6025,      0.2434,  94733.6973,      1.0967,     11.5809,      5.0205,    -40.4956,  276.1131,0.217630
-122.00  37.50   25.0, 0  6  15  1 2024,    300.6531,     18.2651,     13.4714,      0.8559,    385.3927,      0.5806,  77808.2398,      1.4310,     74.8790,     28.5731,    163.4496,  300.6531,0.197998
  55.30  25.20    5.0, 0 16 299 10 2024,    268.7393,      6.6453,    238.6819,      0.6986,    427.0627,      0.7624,  61749.3619,      2.9961,     24.8759,     40.7659,    -45.3147,  268.9654,0.223348
  55.30  25.20    5.0, 0 15 105  4 2024,    260.5499,     22.7247,     25.5197,      0.5964,   1326.2746,      0.8355,  90103.6995,      1.4013,     19.6502,     -7.8176,    154.1255,  261.8668,0.229027
 -46.63 -23.55  760.0, 0 12  75  3 2024,    268.0622,     14.8206,    230.1614,      0.2235,    812.9528,      0.2245,  92009.7864,      1.9779,     84.5666,    -12.2375,     18.6893,  268.0622,0.224070
  28.05 -26.20 1753.0, 0 16 299 10 2024,    294.9883,     12.9341,    147.2736,      0.7336,    437.3775,      0.3038,  83001.0911,      4.8854,     25.8146,     12.8952,    172.7463,  296.6389,0.201209
 -87.63  41.88  181.0, 0  8 325 11 2024,    294.6561,      0.0498,     46.8893,      0.2490,    318.0912,      0.8090,  81154.2928,      4.7734,     18.3999,     25.5240,    -46.2120,  295.4412,0.202167
  55.30  25.20    5.0, 0  8 325 11 2024,    309.1755,     11.1082,    161.6093,      0.6936,    956.4711,      0.7218, 101046.2032,      2.4209,     17.8944,     19.4404,    128.1076,  309.1755,0.191180
  -0.13  51.51   11.0, 0  6  15  1 2024,    312.8180,      2.2423,    346.5226,      0.9086,    572.9098,      0.6049,  82281.9555,      1.0100,     43.7243,     39.9119,    176.0897,  312.8180,0.188266
 151.21 -33.87   39.0, 0 10 135  5 2024,    245.5621,      5.8512,    271.7812,      0.9043,    600.5696,      0.3910,  79697.3902,      0.9057,     48.6478,    -23.8210,      3.0760,  245.5621,0.242070
-122.00  37.50   25.0, 0 10 135  5 2024,    321.6417,     20.7955,     43.7408,      0.7899,    632.1083,      0.3350,  68390.4648,      3.9653,     48.9336,     -2.2604,    143.5380,  322.2238,0.180741
  -0.13  51.51   11.0, 0  6  15  1 2024,    261.1470,      3.3190,    235.6628,      0.1349,   1010.9583,      0.5416,  77807.1479,      1.2636,     13.0019,    -11.2589,    -77.7001,  263.8683,0.227425
  55.30  25.20    5.0, 0  6  15  1 2024,    234.0586,      3.0496,    328.6341,      0.3234,    366.1964,      0.4165,  81971.0693,      4.9410,     35.6645,    -18.7416,    104.3302,  234.0586,0.251273
 103.82   1.35   15.0, 0 16 299 10 2024,    252.7835,      9.7134,     54.3800,      0.8612,    617.0064,      0.3637,  95846.1049,      2.7451,     23.3975,     -5.0883,    -57.2085,  253.8230,0.235462
  -0.13  51.51   11.0, 0 14 228  8 2024,    263.5272,     12.9303,      4.0494,      0.0143,    490.9976,      0.1814,  81176.4472,      4.2047,     20.8989,    -40.6104,    -24.2867,  265.8440,0.225845
-112.07  33.45  331.0, 0  6  15  1 2024,    240.3853,     22.6300,    104.7474,      0.7734,   1332.8654,      0.4385,  88974.4139,      3.0669,      6.6678,    -19.7942,   -160.2716,  240.4000,0.246200
  55.30  25.20    5.0, 0 16 299 10 2024,    253.5743,      1.3426,    347.5572,      0.3319,    750.3851,      0.4380,  86750.7610,      2.0987,     72.5332,     17.3511,    -65.1344,  253.5743,0.235661
 -46.63 -23.55  760.0, 0 14 228  8 2024,    251.7022,     12.0284,     79.3066,      0.7868,   1102.4401,      0.5346,  77427.1031,      1.5717,     25.3030,     14.8143,     16.1723,  254.7038,0.234757
 103.82   1.35   15.0, 0 12 355 12 2024,    253.5345,      3.6385,    166.1961,      0.1501,     51.9752,      0.2177,  70895.6748,      1.8264,      2.9943,    -14.4458,    147.9460,  254.3731,0.235022
  55.30  25.20    5.0, 0 10 135  5 2024,    290.9727,      9.2374,    249.0762,      0.4396,    907.7556,      0.4172,  75024.5413,      0.5026,     85.7219,     -4.3790,     61.6668,  290.9727,0.205742
  -0.13  51.51   11.0, 0 10 135  5 2024,    311.3322,     15.1878,    234.0009,      0.5615,   1311.7136,      0.6001,  81417.4830,      2.3020,     66.5448,    -32.3592,     36.2396,  313.0293,0.188097
 -87.63  41.88  181.0, 0 13 172  6 2024,    241.7661,     14.5338,    265.8689,      0.9611,    395.2658,      0.7409,  62354.1847,      2.0875,      3.8435,     41.9439,     90.7791,  242.5012,0.244519
-112.07  33.45  331.0, 0  6  15  1 2024,    291.6973,     13.6002,      5.8469,      0.3620,    426.4316,      0.7426,  61438.9100,      3.4348,     55.4109,    -41.6603,   -115.1098,  292.1869,0.204770
-122.00  37.50   25.0, 0 12  75  3 2024,    273.2503,     12.7743,    249.7328,      0.6740,    503.9577,      0.5086,  91136.3641,      2.5297,     82.4986,      4.9035,    156.5228,  273.2503,0.219920
 151.21 -33.87   39.0, 0 13 172  6 2024,    278.4209,      5.8830,    210.7717,      0.5601,   1137.1571,      0.4351,  91099.8644,      2.1025,     40.1851,      3.7797,   -118.9570,  284.9254,0.210580
 151.21 -33.87   39.0, 0 13 172  6 2024,    245.7871,     11.0055,    319.6070,      0.1825,   1058.9698,      0.3458,  68174.5090,      2.7973,      5.1447,      9.1993,    -55.1419,  249.2546,0.239116
 139.69  35.69   40.0, 0 16 299 10 2024,    310.3644,     10.7010,    232.3505,      0.0540,   1012.3231,      0.1370,  99813.5928,      1.7827,      6.7050,    -42.6391,    -47.2211,  312.5193,0.188505
 -87.63  41.88  181.0, 0 10 135  5 2024,    301.4239,     17.9235,    184.5946,      0.8749,     62.6786,      0.1634,  84766.1195,      3.9820,     63.7691,    -32.0547,     84.1224,  301.4239,0.197381
 103.82   1.35   15.0, 0  9 266  9 2024,    275.9165,     16.1393,    291.7303,      0.4001,    623.0673,      0.5929,  71718.5836,      4.1109,     25.5460,     38.3870,    108.6502,  276.4919,0.217326
 -46.63 -23.55  760.0, 0  8 325 11 2024,    275.4614,      7.8830,     76.8576,      0.6230,    317.5138,      0.9611,  77729.0187,      4.2302,     10.7386,     -1.8622,    -55.5185,  275.5882,0.218049
  55.30  25.20    5.0, 0 14 228  8 2024,    293.3280,     16.3181,     52.5470,      0.0479,   1305.6155,      0.4553,  82695.5721,      2.0968,     75.9759,     16.5749,     80.4535,  298.0524,0.200078
 139.69  35.69   40.0, 0 16 299 10 2024,    238.7882,     23.8549,    243.1225,      0.1481,    690.3864,      0.5049,  77191.6706,      4.5542,     42.0062,     -9.6479,    -42.6661,  238.8703,0.247424
 151.21 -33.87   39.0, 0 15 105  4 2024,    313.3110,     12.2482,     77.3884,      0.1596,    402.5565,      0.9287,  96645.6067,      2.6890,     71.6392,     25.2133,     -7.6082,  313.3110,0.187871
  28.05 -26.20 1753.0, 0 11 202  7 2024,    312.0735,     20.0926,    317.9906,      0.8125,    841.5514,      0.3126, 100882.8763,      0.9487,     18.1080,     18.2707,    -67.7525,  315.9314,0.185775
 -46.63 -23.55  760.0, 0 10 135  5 2024,    278.8662,      8.6446,    169.0063,      0.7270,    504.2715,      0.5532,  85267.8283,      0.9254,     80.0136,     -9.5013,   -147.6385,  282.7339,0.212333
-122.00  37.50   25.0, 0 11 202  7 2024,    248.7265,     20.7820,    269.0368,      0.3068,    593.2801,      0.5394,  86549.6356,      4.3080,     61.1601,     -9.0091,     56.4406,  249.4352,0.238972
-112.07  33.45  331.0, 0  9  46  2 2024,    264.9674,      8.8944,    276.1682,      0.8662,     19.7073,      0.3051,  93505.0992,      1.9122,     79.9789,    -15.2702,    -86.5696,  265.1310,0.226415
-122.00  37.50   25.0, 0 10 135  5 2024,    308.8298,     24.7356,     79.4724,      0.3966,    868.9244,      0.3634,  80376.9629,      0.8878,     52.1028,     -1.2167,   -143.5309,  311.9962,0.188923
  -0.13  51.51   11.0, 0  9 266  9 2024,    252.8026,     16.3481,     55.3146,      0.5837,   1316.2612,      0.9133,  99565.2961,      1.2823,     43.8532,      8.2687,     48.5218,  253.0615,0.236071
 151.21 -33.87   39.0, 0 11 202  7 2024,    242.9890,      0.9637,     27.8726,      0.2997,   1171.2357,      0.0325,  97804.7226,      1.5028,     76.4146,     26.4018,    108.5978,  247.8531,0.240238
 -46.63 -23.55  760.0, 0 12  75  3 2024,    307.5993,     18.0905,     59.0413,      0.4954,     28.5256,      0.9512,  76190.8021,      4.7005,     49.9500,     -5.5180,    123.6042,  307.6075,0.192434
 -46.63 -23.55  760.0, 0 11 202  7 2024,    251.5177,      1.1863,    285.1861,      0.5678,   1318.3304,      0.3096,  66968.6893,      4.3214,     21.5657,     24.0102,     68.2160,  262.5183,0.228505
